,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,Layups,Layups,,Corner,Corner,Heaves,Heaves
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,Atlanta Hawks*,82,19830,.458,13.4,.684,.263,.174,.102,.145,.316,.502,.643,.409,.419,.413,.363,.598,.026,154,.242,989,.870,.268,.386,13,1
2,Boston Celtics,82,19730,.435,13.3,.749,.273,.148,.109,.219,.251,.470,.607,.348,.424,.403,.333,.510,.039,239,.217,835,.852,.242,.390,15,0
3,Brooklyn Nets*,82,19880,.459,13.6,.699,.256,.171,.112,.160,.301,.497,.642,.413,.427,.405,.369,.491,.052,309,.202,743,.880,.243,.391,20,0
4,Charlotte Bobcats*,82,19905,.442,12.6,.781,.290,.151,.122,.218,.219,.468,.607,.414,.409,.352,.351,.539,.040,253,.245,910,.874,.209,.371,17,0
5,Chicago Bulls*,82,19930,.432,12.7,.778,.297,.148,.112,.222,.222,.456,.597,.334,.373,.392,.348,.611,.035,210,.254,915,.854,.220,.383,20,3
6,Cleveland Cavaliers,82,19930,.437,12.8,.764,.269,.170,.128,.197,.236,.461,.583,.388,.394,.402,.356,.513,.045,278,.212,791,.820,.252,.373,19,0
7,Dallas Mavericks*,82,19830,.474,13.2,.726,.262,.156,.135,.173,.274,.508,.655,.418,.426,.428,.384,.520,.047,308,.206,856,.861,.199,.412,15,0
8,Denver Nuggets,82,19755,.447,12.5,.722,.309,.182,.080,.150,.278,.481,.634,.373,.351,.366,.358,.518,.066,425,.233,933,.813,.240,.416,20,0
9,Detroit Pistons,82,19780,.447,11.1,.778,.356,.197,.068,.157,.222,.483,.640,.344,.369,.348,.321,.493,.052,342,.284,1204,.779,.251,.396,24,0
10,Golden State Warriors*,82,19830,.462,13.4,.709,.264,.176,.100,.169,.291,.496,.654,.394,.396,.412,.380,.540,.055,363,.188,777,.753,.240,.413,21,0
11,Houston Rockets*,82,19830,.472,11.9,.670,.341,.214,.049,.065,.330,.529,.663,.405,.391,.343,.358,.472,.078,481,.276,1046,.834,.230,.389,11,1
12,Indiana Pacers*,82,19780,.449,13.0,.765,.249,.188,.124,.205,.235,.477,.611,.418,.382,.425,.357,.498,.030,180,.218,831,.831,.246,.406,14,0
13,Los Angeles Clippers*,82,19755,.474,13.8,.709,.267,.137,.097,.208,.291,.525,.707,.408,.422,.415,.352,.568,.081,496,.188,817,.847,.286,.401,11,1
14,Los Angeles Lakers,82,19705,.450,13.5,.709,.247,.177,.116,.169,.291,.478,.640,.407,.392,.375,.381,.569,.045,283,.202,843,.854,.239,.405,6,0
15,Memphis Grizzlies*,82,19805,.464,11.3,.829,.301,.223,.115,.191,.171,.487,.631,.411,.420,.391,.353,.526,.036,222,.245,990,.894,.280,.368,17,1
16,Miami Heat*,82,19880,.501,12.8,.708,.330,.127,.084,.168,.292,.558,.697,.467,.433,.413,.364,.509,.064,383,.255,1018,.880,.372,.429,5,1
17,Milwaukee Bucks,82,19880,.438,12.1,.769,.314,.168,.106,.182,.231,.464,.584,.365,.389,.392,.353,.547,.038,232,.250,924,.812,.182,.375,5,0
18,Minnesota Timberwolves,82,19855,.444,12.1,.755,.334,.157,.091,.174,.245,.478,.619,.386,.348,.358,.341,.564,.042,278,.277,1140,.838,.224,.332,14,1
19,New Orleans Pelicans,82,19855,.459,11.5,.807,.332,.183,.107,.184,.193,.479,.598,.370,.419,.409,.373,.506,.050,305,.276,1027,.866,.231,.382,20,0
